Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
MEDIUM,Jump Game,70,0.391136091,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
MEDIUM,Spiral Matrix,69.7,0.529329227,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Letter Combinations of a Phone Number,69.2,0.630801656,https://leetcode.com/problems/letter-combinations-of-a-phone-number,"Hash Table, String, Backtracking"
MEDIUM,Generate Parentheses,68.2,0.765298471,https://leetcode.com/problems/generate-parentheses,"String, Dynamic Programming, Backtracking"
MEDIUM,Reverse Integer,66.1,0.298643124,https://leetcode.com/problems/reverse-integer,Math
MEDIUM,Search in Rotated Sorted Array,65.4,0.423239598,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Rotate Image,64.6,0.771707576,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Next Permutation,64.1,0.423240509,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
MEDIUM,Valid Sudoku,60.6,0.616526138,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Subsets,60.4,0.8025895,https://leetcode.com/problems/subsets,"Array, Backtracking, Bit Manipulation"
MEDIUM,Word Search,60.2,0.446262482,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
MEDIUM,Find First and Last Position of Element in Sorted Array,59.2,0.461496913,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
MEDIUM,Set Matrix Zeroes,58.9,0.589320948,https://leetcode.com/problems/set-matrix-zeroes,"Array, Hash Table, Matrix"
MEDIUM,Jump Game II,57.8,0.411384658,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
MEDIUM,"Pow(x, n)",57.3,0.364774143,https://leetcode.com/problems/powx-n,"Math, Recursion"
MEDIUM,4Sum,57,0.376016154,https://leetcode.com/problems/4sum,"Array, Two Pointers, Sorting"
MEDIUM,Remove Nth Node From End of List,56.8,0.481054147,https://leetcode.com/problems/remove-nth-node-from-end-of-list,"Linked List, Two Pointers"
MEDIUM,Search a 2D Matrix,56,0.517771974,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Sort Colors,56,0.663620742,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Unique Paths,55.2,0.654033676,https://leetcode.com/problems/unique-paths,"Math, Dynamic Programming, Combinatorics"
MEDIUM,Validate Binary Search Tree,54.1,0.339804082,https://leetcode.com/problems/validate-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Combination Sum,52.8,0.739312711,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
MEDIUM,Zigzag Conversion,51.5,0.507912379,https://leetcode.com/problems/zigzag-conversion,String
MEDIUM,Integer to Roman,50.1,0.678581451,https://leetcode.com/problems/integer-to-roman,"Hash Table, Math, String"
MEDIUM,String to Integer (atoi),48.1,0.187171247,https://leetcode.com/problems/string-to-integer-atoi,String
MEDIUM,Permutations,47.7,0.801398865,https://leetcode.com/problems/permutations,"Array, Backtracking"
MEDIUM,Reverse Linked List II,47.3,0.491013992,https://leetcode.com/problems/reverse-linked-list-ii,Linked List
MEDIUM,Combination Sum II,46.4,0.572100593,https://leetcode.com/problems/combination-sum-ii,"Array, Backtracking"
MEDIUM,Swap Nodes in Pairs,46.4,0.665142428,https://leetcode.com/problems/swap-nodes-in-pairs,"Linked List, Recursion"
MEDIUM,Minimum Path Sum,44.9,0.658477818,https://leetcode.com/problems/minimum-path-sum,"Array, Dynamic Programming, Matrix"
MEDIUM,Divide Two Integers,44.9,0.181460114,https://leetcode.com/problems/divide-two-integers,"Math, Bit Manipulation"
MEDIUM,3Sum Closest,43.9,0.465982478,https://leetcode.com/problems/3sum-closest,"Array, Two Pointers, Sorting"
MEDIUM,Remove Duplicates from Sorted Array II,43.9,0.62151962,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,"Array, Two Pointers"
MEDIUM,Insert Interval,43.9,0.429441708,https://leetcode.com/problems/insert-interval,Array
MEDIUM,Decode Ways,43.4,0.361050045,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming"
MEDIUM,Subsets II,43.4,0.589059278,https://leetcode.com/problems/subsets-ii,"Array, Backtracking, Bit Manipulation"
MEDIUM,Rotate List,42.2,0.394025418,https://leetcode.com/problems/rotate-list,"Linked List, Two Pointers"
MEDIUM,Simplify Path,41,0.465958838,https://leetcode.com/problems/simplify-path,"String, Stack"
MEDIUM,Search in Rotated Sorted Array II,40.4,0.385897065,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,"Array, Binary Search"
MEDIUM,Edit Distance,39.7,0.581899903,https://leetcode.com/problems/edit-distance,"String, Dynamic Programming"
MEDIUM,Count and Say,39.7,0.578970392,https://leetcode.com/problems/count-and-say,String
MEDIUM,Multiply Strings,39,0.418302604,https://leetcode.com/problems/multiply-strings,"Math, String, Simulation"
MEDIUM,Unique Binary Search Trees II,36.7,0.597392944,https://leetcode.com/problems/unique-binary-search-trees-ii,"Dynamic Programming, Backtracking, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Unique Paths II,34.1,0.427592877,https://leetcode.com/problems/unique-paths-ii,"Array, Dynamic Programming, Matrix"
MEDIUM,Partition List,33.2,0.583274136,https://leetcode.com/problems/partition-list,"Linked List, Two Pointers"
MEDIUM,Combinations,32.1,0.722862527,https://leetcode.com/problems/combinations,Backtracking
MEDIUM,Permutations II,29.9,0.609958314,https://leetcode.com/problems/permutations-ii,"Array, Backtracking, Sorting"
MEDIUM,Gray Code,28.7,0.611679278,https://leetcode.com/problems/gray-code,"Math, Backtracking, Bit Manipulation"
MEDIUM,Recover Binary Search Tree,27.4,0.555123723,https://leetcode.com/problems/recover-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Spiral Matrix II,25.9,0.729407452,https://leetcode.com/problems/spiral-matrix-ii,"Array, Matrix, Simulation"
MEDIUM,Interleaving String,25.9,0.413953843,https://leetcode.com/problems/interleaving-string,"String, Dynamic Programming"
MEDIUM,Unique Binary Search Trees,24.4,0.621368793,https://leetcode.com/problems/unique-binary-search-trees,"Math, Dynamic Programming, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Restore IP Addresses,22.7,0.523831931,https://leetcode.com/problems/restore-ip-addresses,"String, Backtracking"
MEDIUM,Remove Duplicates from Sorted List II,22.7,0.492636689,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,"Linked List, Two Pointers"
